season,week,contestant_id,celebrity_name,placement,J_pct_final
1,2,Trista Sutter_S1,Trista Sutter,6,63.33333333333333
1,3,Evander Holyfield_S1,Evander Holyfield,5,43.333333333333336
1,4,Rachel Hunter_S1,Rachel Hunter,4,83.33333333333334
1,5,Joey McIntyre_S1,Joey McIntyre,3,75.0
1,6,Kelly Monaco_S1,Kelly Monaco,1,91.66666666666666
1,6,John O'Hurley_S1,John O'Hurley,2,90.0
2,1,Kenny Mayne_S2,Kenny Mayne,10,43.333333333333336
2,2,Tatum O'Neal_S2,Tatum O'Neal,9,56.666666666666664
2,3,Giselle Fernandez_S2,Giselle Fernandez,8,73.33333333333333
2,4,Master P_S2,Master P,7,26.666666666666668
2,5,Tia Carrere_S2,Tia Carrere,6,73.33333333333333
2,6,George Hamilton_S2,George Hamilton,5,76.66666666666667
2,7,Lisa Rinna_S2,Lisa Rinna,4,88.33333333333333
2,8,Drew Lachey_S2,Drew Lachey,1,96.666
2,8,Jerry Rice_S2,Jerry Rice,2,88.88866666666667
2,8,Stacy Keibler_S2,Stacy Keibler,3,95.555
3,1,Tucker Carlson_S3,Tucker Carlson,11,40.0
3,2,Shanna Moakler_S3,Shanna Moakler,10,73.33333333333333
3,3,Harry Hamlin_S3,Harry Hamlin,9,73.33333333333333
3,4,Vivica A. Fox_S3,Vivica A. Fox,8,80.0
3,5,Willa Ford_S3,Willa Ford,7,90.0
3,7,Jerry Springer_S3,Jerry Springer,5,76.66666666666667
3,8,Monique Coleman_S3,Monique Coleman,4,88.33333333333333
3,9,Joey Lawrence_S3,Joey Lawrence,3,98.33333333333333
3,10,Emmitt Smith_S3,Emmitt Smith,1,98.88866666666668
3,10,Mario Lopez_S3,Mario Lopez,2,98.88866666666668
4,2,Paulina Porizkova_S4,Paulina Porizkova,11,70.0
4,3,Shandi Finnessey_S4,Shandi Finnessey,10,70.0
4,4,Leeza Gibbons_S4,Leeza Gibbons,9,53.333333333333336
4,5,Clyde Drexler_S4,Clyde Drexler,8,43.333333333333336
4,6,Heather Mills_S4,Heather Mills,7,76.66666666666667
4,7,John Ratzenberger_S4,John Ratzenberger,6,75.0
4,8,Billy Ray Cyrus_S4,Billy Ray Cyrus,5,63.33333333333333
4,9,Ian Ziering_S4,Ian Ziering,4,96.66666666666667
4,10,Apolo Anton Ohno_S4,Apolo Anton Ohno,1,97.77733333333333
4,10,Joey Fatone_S4,Joey Fatone,2,95.555
4,10,Laila Ali_S4,Laila Ali,3,94.444
5,1,Josie Maran_S5,Josie Maran,12,53.333333333333336
5,2,Albert Reed_S5,Albert Reed,11,70.0
5,3,Wayne Newton_S5,Wayne Newton,10,60.0
5,4,Floyd Mayweather Jr. _S5,Floyd Mayweather Jr. ,9,76.66666666666667
5,5,Mark Cuban_S5,Mark Cuban,8,70.0
5,6,Sabrina Bryan_S5,Sabrina Bryan,7,83.33333333333334
5,7,Jane Seymour_S5,Jane Seymour,6,83.33333333333334
5,8,Cameron Mathison_S5,Cameron Mathison,5,85.0
5,9,Jennie Garth_S5,Jennie Garth,4,96.66666666666667
5,10,Helio Castroneves_S5,Helio Castroneves,1,93.333
5,10,Mel B_S5,Mel B,2,94.44399999999999
5,10,Marie Osmond_S5,Marie Osmond,3,76.66666666666667
6,2,Monica Seles_S6,Monica Seles,11,50.0
6,2,Penn Jillette_S6,Penn Jillette,12,56.666666666666664
6,3,Steve Guttenberg_S6,Steve Guttenberg,10,70.0
6,4,Adam Carolla_S6,Adam Carolla,9,63.33333333333333
6,5,Priscilla Presley_S6,Priscilla Presley,8,70.0
6,6,Marlee Matlin_S6,Marlee Matlin,7,70.0
6,7,Shannon Elizabeth_S6,Shannon Elizabeth,6,85.0
6,8,Mario_S6,Mario,5,88.33333333333333
6,9,Marissa Jaret Winokur_S6,Marissa Jaret Winokur,4,86.66666666666667
6,10,Kristi Yamaguchi_S6,Kristi Yamaguchi,1,100.0
6,10,Jason Taylor_S6,Jason Taylor,2,95.0
6,10,Cristian de la Fuente_S6,Cristian de la Fuente,3,86.66666666666667
7,1,Ted McGinley_S7,Ted McGinley,12,61.66666666666667
7,1,Jeffrey Ross_S7,Jeffrey Ross,13,40.0
7,2,Kim Kardashian_S7,Kim Kardashian,11,56.666666666666664
7,4,Rocco DiSpirito_S7,Rocco DiSpirito,9,60.0
7,5,Toni Braxton_S7,Toni Braxton,8,73.33333333333333
7,6,Cloris Leachman_S7,Cloris Leachman,7,50.0
7,7,Susan Lucci_S7,Susan Lucci,6,80.0
7,8,Maurice Greene_S7,Maurice Greene,5,80.0
7,9,Cody Linley_S7,Cody Linley,4,76.66666666666667
7,10,Brooke Burke_S7,Brooke Burke,1,100.0
7,10,Warren Sapp_S7,Warren Sapp,2,91.66666666666666
7,10,Lance Bass_S7,Lance Bass,3,91.66666666666666
8,2,Belinda Carlisle_S8,Belinda Carlisle,13,60.0
8,3,Denise Richards_S8,Denise Richards,12,53.333333333333336
8,4,Steve Wozniak_S8,Steve Wozniak,10,40.0
8,4,Holly Madison_S8,Holly Madison,11,53.333333333333336
8,5,David Alan Grier_S8,David Alan Grier,9,73.33333333333333
8,6,Steve-O_S8,Steve-O,8,53.333333333333336
8,7,Lawrence Taylor_S8,Lawrence Taylor,7,70.0
8,8,Chuck Wicks_S8,Chuck Wicks,6,85.0
8,9,Lil' Kim_S8,Lil' Kim,5,86.66666666666667
8,10,Ty Murray_S8,Ty Murray,4,80.0
8,11,Shawn Johnson_S8,Shawn Johnson,1,100.0
8,11,Gilles Marini_S8,Gilles Marini,2,96.66666666666667
8,11,Melissa Rycroft_S8,Melissa Rycroft,3,95.0
9,1,Macy Gray_S9,Macy Gray,15,63.333000000000006
9,1,Ashley Hamiliton_S9,Ashley Hamiliton,16,63.333000000000006
9,2,Kathy Ireland_S9,Kathy Ireland,14,60.0
9,3,Debi Mazar_S9,Debi Mazar,12,56.666666666666664
9,4,Chuck Liddell_S9,Chuck Liddell,11,56.666666666666664
9,5,Natalie Coughlin_S9,Natalie Coughlin,10,73.33333333333333
9,6,Louie Vito_S9,Louie Vito,8,80.0
9,6,Melissa Joan Hart_S9,Melissa Joan Hart,9,79.99966666666667
9,7,Mark Dacascos_S9,Mark Dacascos,6,71.66666666666667
9,7,Michael Irvin_S9,Michael Irvin,7,78.33333333333333
9,8,Aaron Carter_S9,Aaron Carter,5,83.33333333333334
9,9,Joanna Krupa_S9,Joanna Krupa,4,90.0
9,10,Donny Osmond_S9,Donny Osmond,1,96.666
9,10,Mya_S9,Mya,2,94.44399999999999
9,10,Kelly Osbourne_S9,Kelly Osbourne,3,84.074
10,2,Shannen Doherty_S10,Shannen Doherty,11,66.66666666666666
10,3,Buzz Aldrin_S10,Buzz Aldrin,10,43.333333333333336
10,4,Aiden Turner_S10,Aiden Turner,9,55.00000000000001
10,5,Kate Gosselin_S10,Kate Gosselin,8,50.0
10,6,Jake Pavelka_S10,Jake Pavelka,7,83.33299999999998
10,7,Pamela Anderson_S10,Pamela Anderson,6,85.0
10,8,Niecy Nash_S10,Niecy Nash,5,71.66666666666667
10,9,Chad Ochocinco_S10,Chad Ochocinco,4,86.66666666666667
10,10,Nicole Scherzinger_S10,Nicole Scherzinger,1,95.92566666666667
10,10,Evan Lysacek_S10,Evan Lysacek,2,89.629
10,10,Erin Andrews_S10,Erin Andrews,3,89.99933333333333
11,1,David Hasselhoff_S11,David Hasselhoff,12,50.0
11,2,Michael Bolton_S11,Michael Bolton,11,40.0
11,3,Margaret Cho_S11,Margaret Cho,10,60.0
11,4,The Situation_S11,The Situation,9,46.666666666666664
11,5,Florence Henderson_S11,Florence Henderson,8,70.0
11,6,Audrina Patridge_S11,Audrina Patridge,7,53.333
11,7,Rick Fox_S11,Rick Fox,6,86.25
11,8,Kurt Warner_S11,Kurt Warner,5,80.0
11,9,Brandy_S11,Brandy,4,95.0
11,10,Jennifer Grey_S11,Jennifer Grey,1,100.0
11,10,Kyle Massey_S11,Kyle Massey,2,91.11066666666666
11,10,Bristol Palin_S11,Bristol Palin,3,85.55533333333332
12,2,Mike Catherwood_S12,Mike Catherwood,11,56.666666666666664
12,3,Wendy Williams_S12,Wendy Williams,10,50.0
12,4,Sugar Ray Leonard_S12,Sugar Ray Leonard,9,70.0
12,5,Petra Nemcova_S12,Petra Nemcova,8,73.33333333333333
12,6,Chris Jericho_S12,Chris Jericho,7,73.33333333333333
12,7,Kendra Wilkinson_S12,Kendra Wilkinson,6,76.25
12,8,Romeo_S12,Romeo,5,86.66666666666667
12,9,Ralph Macchio_S12,Ralph Macchio,4,80.0
12,10,Hines Ward_S12,Hines Ward,1,98.88866666666668
12,10,Kirstie Alley_S12,Kirstie Alley,2,93.33299999999998
12,10,Chelsea Kane_S12,Chelsea Kane,3,98.88866666666668
13,1,Metta World Peace (Ron)_S13,Metta World Peace (Ron),12,46.666666666666664
13,2,Elisabetta Canalis_S13,Elisabetta Canalis,11,70.0
13,3,Kristin Cavallari_S13,Kristin Cavallari,10,80.0
13,4,Chynna Phillips_S13,Chynna Phillips,9,70.0
13,5,Carson Kressley_S13,Carson Kressley,8,63.33333333333333
13,6,Chaz Bono_S13,Chaz Bono,7,63.33333333333333
13,7,David Arquette_S13,David Arquette,6,78.33333333333333
13,8,Nancy Grace_S13,Nancy Grace,5,73.33333333333333
13,9,Hope Solo_S13,Hope Solo,4,81.66600000000001
13,10,J.R. Martinez_S13,J.R. Martinez,1,93.88833333333334
13,10,Rob Kardashian_S13,Rob Kardashian,2,94.44399999999999
13,10,Ricki Lake_S13,Ricki Lake,3,93.33299999999998
14,2,Martina Navratilova_S14,Martina Navratilova,12,56.666666666666664
14,3,Jack Wagner_S14,Jack Wagner,11,80.0
14,4,Sherri Sheperd_S14,Sherri Sheperd,10,70.0
14,5,Gavin DeGraw_S14,Gavin DeGraw,9,63.33333333333333
14,6,Gladys Knight_S14,Gladys Knight,8,80.0
14,7,Jaleel White_S14,Jaleel White,7,85.0
14,8,Melissa Gilbert_S14,Melissa Gilbert,5,85.0
14,8,Roshon Fegan_S14,Roshon Fegan,6,93.33333333333333
14,9,Maria Menounos_S14,Maria Menounos,4,98.33333333333333
14,10,Donald Driver_S14,Donald Driver,1,98.88866666666668
14,10,Katherine Jenkins_S14,Katherine Jenkins,2,100.0
14,10,William Levy_S14,William Levy,3,98.88866666666668
15,1,Pamela Anderson_S15,Pamela Anderson,13,56.666666666666664
15,2,Joey Fatone_S15,Joey Fatone,12,75.0
15,3,Helio Castroneves_S15,Helio Castroneves,10,85.0
15,3,Drew Lachey_S15,Drew Lachey,11,80.0
15,4,Bristol Palin_S15,Bristol Palin,9,80.0
15,6,Sabrina Bryan_S15,Sabrina Bryan,8,100.0
15,8,Gilles Marini_S15,Gilles Marini,6,97.59233333333334
15,8,Kirstie Alley_S15,Kirstie Alley,7,85.0
15,9,Emmitt Smith_S15,Emmitt Smith,4,90.0
15,9,Apolo Anton Ohno_S15,Apolo Anton Ohno,5,95.36999999999999
15,10,Melissa Rycroft_S15,Melissa Rycroft,1,97.77699999999999
15,10,Shawn Johnson_S15,Shawn Johnson,2,96.481
15,10,Kelly Monaco_S15,Kelly Monaco,3,97.03633333333333
16,3,Wynonna Judd_S16,Wynonna Judd,11,50.0
16,4,Lisa Vanderpump_S16,Lisa Vanderpump,10,60.0
16,5,D. L. Hughley_S16,D. L. Hughley,9,60.0
16,6,Victor Ortiz_S16,Victor Ortiz,8,66.66666666666666
16,7,Andy Dick_S16,Andy Dick,7,56.666666666666664
16,8,Sean Lowe_S16,Sean Lowe,6,70.0
16,9,Ingo Rademacher_S16,Ingo Rademacher,5,85.0
16,10,Kellie Pickler_S16,Kellie Pickler,1,100.0
16,10,Zendaya_S16,Zendaya,2,100.0
16,10,Jacoby Jones_S16,Jacoby Jones,3,93.33299999999998
16,10,Alexandra Raisman_S16,Alexandra Raisman,4,96.66666666666667
17,2,Keyshawn Johnson_S17,Keyshawn Johnson,12,60.0
17,3,Bill Nye_S17,Bill Nye,11,53.333333333333336
17,4,Valerie Harper_S17,Valerie Harper,10,60.0
17,5,Christina Milian_S17,Christina Milian,9,93.33333333333333
17,7,"Nicole ""Snooki"" Polizzi_S17","Nicole ""Snooki"" Polizzi",8,90.0
17,8,Brant Daugherty_S17,Brant Daugherty,7,90.0
17,9,Elizabeth Berkley Lauren_S17,Elizabeth Berkley Lauren,6,93.33333333333333
17,10,Leah Remini_S17,Leah Remini,5,81.25
17,11,Amber Riley_S17,Amber Riley,1,52.222
17,11,Corbin Bleu_S17,Corbin Bleu,2,98.888
17,11,Jack Osbourne_S17,Jack Osbourne,3,93.33299999999998
17,11,Bill Engvall_S17,Bill Engvall,4,84.99966666666666
18,2,Sean Avery_S18,Sean Avery,11,70.0
18,2,Diana Nyad_S18,Diana Nyad,12,
18,5,Cody Simpson_S18,Cody Simpson,9,85.0
18,6,Drew Carey_S18,Drew Carey,8,80.0
18,7,NeNe Leakes_S18,NeNe Leakes,7,82.5
18,8,Danica McKellar_S18,Danica McKellar,6,95.0
18,9,Charlie White_S18,Charlie White,5,95.0
18,10,Meryl Davis_S18,Meryl Davis,1,100.0
18,10,Amy Purdy_S18,Amy Purdy,2,98.88866666666668
18,10,Candace Cameron Bure_S18,Candace Cameron Bure,3,86.666
18,10,James Maslow_S18,James Maslow,4,96.66666666666667
19,1,Lolo Jones_S19,Lolo Jones,13,55.00000000000001
19,2,Tavis Smiley_S19,Tavis Smiley,12,70.0
19,3,Randy Couture_S19,Randy Couture,11,65.0
19,4,Betsey Johnson_S19,Betsey Johnson,10,72.5
19,6,Jonathan Bennett_S19,Jonathan Bennett,9,80.0
19,7,Antonio Sabato Jr._S19,Antonio Sabato Jr.,8,73.75
19,8,Michael Waltrip_S19,Michael Waltrip,7,62.5
19,9,Lea Thompson_S19,Lea Thompson,6,87.5
19,10,Tommy Chong_S19,Tommy Chong,5,77.5
19,11,Alfonso Ribeiro_S19,Alfonso Ribeiro,1,100.0
19,11,Sadie Robertson_S19,Sadie Robertson,2,98.33300000000001
19,11,Janel Parrish_S19,Janel Parrish,3,97.49950000000001
19,11,Bethany Mota_S19,Bethany Mota,4,95.0
20,2,Redfoo_S20,Redfoo,12,77.5
20,3,Charlotte McKinney_S20,Charlotte McKinney,11,55.00000000000001
20,4,Michael Sam_S20,Michael Sam,10,75.0
20,5,Suzanne Somers_S20,Suzanne Somers,9,70.0
20,6,Patti LaBelle_S20,Patti LaBelle,8,85.0
20,7,Willow Shields_S20,Willow Shields,7,48.75
20,8,Chris Soules_S20,Chris Soules,5,80.0
20,8,Robert Herjavec_S20,Robert Herjavec,6,77.5
20,9,Nastia Liukin_S20,Nastia Liukin,4,100.0
20,10,Rumer Willis_S20,Rumer Willis,1,100.0
20,10,Riker Lynch_S20,Riker Lynch,2,100.0
20,10,Noah Galloway_S20,Noah Galloway,3,90.0
21,2,Victor Espinoza_S21,Victor Espinoza,12,61.66666666666667
21,2,Chaka Khan_S21,Chaka Khan,13,50.0
21,4,Gary Busey_S21,Gary Busey,10,53.333333333333336
21,6,Paula Deen_S21,Paula Deen,9,60.0
21,7,Hayes Grier_S21,Hayes Grier,8,93.33333333333333
21,8,Andy Grammer_S21,Andy Grammer,7,79.99933333333334
21,9,Alexa PenaVega_S21,Alexa PenaVega,6,100.0
21,11,Bindi Irwin_S21,Bindi Irwin,1,100.0
21,11,Nick Carter_S21,Nick Carter,2,100.0
21,11,Alek Skarlatos_S21,Alek Skarlatos,3,93.33299999999998
21,11,Carlos PenaVega_S21,Carlos PenaVega,4,100.0
22,2,Geraldo Rivera_S22,Geraldo Rivera,12,43.333333333333336
22,3,Mischa Barton_S22,Mischa Barton,11,60.0
22,4,Marla Maples_S22,Marla Maples,10,70.0
22,6,Doug Flutie_S22,Doug Flutie,9,70.0
22,7,Von Miller_S22,Von Miller,7,86.66666666666667
22,7,Kim Fields_S22,Kim Fields,8,86.66666666666667
22,8,Jodie Sweetin_S22,Jodie Sweetin,6,100.0
22,9,Wanya Morris_S22,Wanya Morris,4,100.0
22,9,Antonio Brown_S22,Antonio Brown,5,91.66666666666666
22,10,Nyle DiMarco_S22,Nyle DiMarco,1,96.666
22,10,Paige VanZant_S22,Paige VanZant,2,98.88866666666668
22,10,Ginger Zee_S22,Ginger Zee,3,94.44399999999999
23,2,Jake T. Austin_S23,Jake T. Austin,13,60.0
23,3,Rick Perry_S23,Rick Perry,12,57.49999999999999
23,4,Vanilla Ice_S23,Vanilla Ice,10,76.66666666666667
23,4,Babyface_S23,Babyface,11,60.0
23,6,Amber Rose_S23,Amber Rose,9,70.0
23,7,Maureen McCormick_S23,Maureen McCormick,8,82.5
23,8,Ryan Lochte_S23,Ryan Lochte,7,86.66666666666667
23,9,Marilu Henner_S23,Marilu Henner,6,90.0
23,10,Terra Jole_S23,Terra Jole,5,100.0
23,11,Laurie Hernandez_S23,Laurie Hernandez,1,98.33300000000001
23,11,James Hinchcliffe_S23,James Hinchcliffe,2,97.49950000000001
23,11,Calvin Johnson Jr._S23,Calvin Johnson Jr.,3,95.83275
23,11,Jana Kramer_S23,Jana Kramer,4,88.75
24,2,Chris Kattan_S24,Chris Kattan,12,55.00000000000001
24,3,Charo_S24,Charo,11,60.0
24,4,Mr. T_S24,Mr. T,10,70.0
24,5,Erika Jayne_S24,Erika Jayne,9,80.0
24,6,Heather Morris_S24,Heather Morris,8,92.5
24,7,Nick Viall_S24,Nick Viall,6,85.0
24,7,Nancy Kerrigan_S24,Nancy Kerrigan,7,90.0
24,8,Bonner Bolton_S24,Bonner Bolton,5,72.5
24,9,Simone Biles_S24,Simone Biles,4,100.0
24,10,Rashad Jennings_S24,Rashad Jennings,1,99.1665
24,10,David Ross_S24,David Ross,2,90.83324999999999
24,10,Normani_S24,Normani,3,98.33300000000001
25,2,Debbie Gibson_S25,Debbie Gibson,12,68.33333333333333
25,2,Barbara Corcoran_S25,Barbara Corcoran,13,56.666666666666664
25,4,Derek Fisher_S25,Derek Fisher,11,76.66666666666667
25,5,Sasha Pieterse_S25,Sasha Pieterse,10,80.0
25,6,Nick Lachey_S25,Nick Lachey,9,65.0
25,7,Vanessa Lachey_S25,Vanessa Lachey,7,90.0
25,7,Nikki Bella_S25,Nikki Bella,8,80.0
25,8,Terrell Owens_S25,Terrell Owens,6,85.0
25,9,Victoria Arlen_S25,Victoria Arlen,5,93.33333333333333
25,10,Jordan Fisher_S25,Jordan Fisher,1,100.0
25,10,Lindsey Stirling_S25,Lindsey Stirling,2,100.0
25,10,Frankie Muniz_S25,Frankie Muniz,3,97.22175
25,10,Drew Scott_S25,Drew Scott,4,93.75
26,1,Johnny Damon_S26,Johnny Damon,9,60.0
26,1,Jamie Anderson_S26,Jamie Anderson,10,63.33333333333333
26,2,Arike Ogunbowale_S26,Arike Ogunbowale,7,87.5
26,2,Kareem Abdul-Jabbar_S26,Kareem Abdul-Jabbar,8,73.75
26,3,Mirai Nagasu_S26,Mirai Nagasu,4,87.5
26,3,Chris Mazdzer_S26,Chris Mazdzer,5,82.5
26,3,Jennie Finch Daigle_S26,Jennie Finch Daigle,6,72.5
26,4,Adam Rippon_S26,Adam Rippon,1,96.66666666666667
26,4,Josh Norman_S26,Josh Norman,2,95.0
26,4,Tonya Harding_S26,Tonya Harding,3,93.33333333333333
27,1,Nikki Glaser_S27,Nikki Glaser,13,58.333333333333336
27,2,Danelle Umstead_S27,Danelle Umstead,12,61.66666666666667
27,3,Nancy McKeon_S27,Nancy McKeon,11,73.33333333333333
27,4,Tinashe_S27,Tinashe,10,86.66666666666667
27,6,Mary Lou Retton_S27,Mary Lou Retton,9,80.0
27,7,DeMarcus Ware_S27,DeMarcus Ware,7,88.33333333333333
27,7,John Schneider_S27,John Schneider,8,90.0
27,8,Juan Pablo Di Pace_S27,Juan Pablo Di Pace,5,100.0
27,8,Joe Amabile_S27,Joe Amabile,6,76.66666666666667
27,9,Bobby Bones_S27,Bobby Bones,1,90.0
27,9,Milo Manheim_S27,Milo Manheim,2,100.0
27,9,Evanna Lynch_S27,Evanna Lynch,3,100.0
28,2,Mary Wilson_S28,Mary Wilson,12,50.0
28,4,Lamar Odom_S28,Lamar Odom,10,50.0
28,6,Sailor Brinkley-Cook_S28,Sailor Brinkley-Cook,9,90.0
28,7,Karamo Brown_S28,Karamo Brown,8,81.66666666666667
28,8,Kate Flannery_S28,Kate Flannery,7,86.666
28,9,Sean Spicer_S28,Sean Spicer,6,62.5
28,10,James Van Der Beek_S28,James Van Der Beek,5,85.0
28,11,Hannah Brown_S28,Hannah Brown,1,96.66666666666667
28,11,Kel Mitchell_S28,Kel Mitchell,2,98.33333333333333
28,11,Ally Brooke_S28,Ally Brooke,3,100.0
29,2,Charles Oakley_S29,Charles Oakley,15,50.0
29,3,Carole Baskin_S29,Carole Baskin,14,40.0
29,4,Anne Heche_S29,Anne Heche,13,70.0
29,5,Jesse Metcalfe_S29,Jesse Metcalfe,12,63.33333333333333
29,6,Veron Davis_S29,Veron Davis,11,70.0
29,7,Monica Aldama_S29,Monica Aldama,10,73.33333333333333
29,8,Chrishell Stause_S29,Chrishell Stause,8,90.0
29,9,AJ McLean_S29,AJ McLean,7,83.33266666666667
29,10,Skai Jackson_S29,Skai Jackson,5,95.0
29,10,Johnny Weir_S29,Johnny Weir,6,95.0
29,11,Kaitlyn Bristowe_S29,Kaitlyn Bristowe,1,100.0
29,11,Nev Schulman_S29,Nev Schulman,2,100.0
29,11,Nelly_S29,Nelly,3,95.0
30,2,Martin Kove_S30,Martin Kove,15,37.5
30,3,Christine Chiu_S30,Christine Chiu,14,70.0
30,4,Matt James_S30,Matt James,12,71.25
30,4,Brian Austin Green_S30,Brian Austin Green,13,65.0
30,5,Melanie C_S30,Melanie C,11,90.0
30,6,Kenya Moore_S30,Kenya Moore,10,80.0
30,7,"Mike ""The Miz"" Mizanin_S30","Mike ""The Miz"" Mizanin",9,80.0
30,8,Jimmie Allen_S30,Jimmie Allen,7,80.0
30,8,Olivia Jade_S30,Olivia Jade,8,90.0
30,9,Suni Lee_S30,Suni Lee,5,93.75
30,9,Melora Hardin_S30,Melora Hardin,6,90.0
30,10,Iman Shumpert_S30,Iman Shumpert,1,100.0
30,10,JoJo Siwa_S30,JoJo Siwa,2,100.0
30,10,Cody Rigsby_S30,Cody Rigsby,3,95.0
31,1,Jason Lewis_S31,Jason Lewis,16,45.0
31,2,Teresa Giudice_S31,Teresa Giudice,15,57.49999999999999
31,3,Cheryl Ladd_S31,Cheryl Ladd,14,60.0
31,4,Sam Champion_S31,Sam Champion,13,62.5
31,5,Joseph Baena_S31,Joseph Baena,11,87.5
31,6,Jessie James Decker_S31,Jessie James Decker,10,80.0
31,7,Jordin Sparks_S31,Jordin Sparks,9,86.25
31,8,Vinny Guadagnino_S31,Vinny Guadagnino,7,72.5
31,8,Heidi D'Amelio_S31,Heidi D'Amelio,8,87.5
31,9,Daniel Durant_S31,Daniel Durant,5,86.25
31,9,Trevor Donovan_S31,Trevor Donovan,6,81.25
31,10,Charli D'Amelio_S31,Charli D'Amelio,1,100.0
31,10,Gabby Windey_S31,Gabby Windey,2,100.0
31,10,Wayne Brady_S31,Wayne Brady,3,95.0
32,1,Matt Walsh_S32,Matt Walsh,14,40.0
32,2,Jamie Lynn Spears_S32,Jamie Lynn Spears,13,53.333333333333336
32,3,Tyson Beckford_S32,Tyson Beckford,12,50.0
32,4,Adrian Peterson_S32,Adrian Peterson,11,70.0
32,5,Mira Sorvino_S32,Mira Sorvino,10,73.33333333333333
32,6,Mauricio Umansky_S32,Mauricio Umansky,9,82.5
32,7,Lele Pons_S32,Lele Pons,8,91.25
32,8,Barry Williams_S32,Barry Williams,7,87.5
32,9,Harry Jowsey_S32,Harry Jowsey,6,75.0
32,11,Xochitl Gomez_S32,Xochitl Gomez,1,100.0
32,11,Jason Mraz_S32,Jason Mraz,2,100.0
32,11,Ariana Madix_S32,Ariana Madix,3,98.33333333333333
33,2,Tori Spelling_S33,Tori Spelling,12,63.33333333333333
33,2,Anna Delvey_S33,Anna Delvey,12,56.666666666666664
33,3,Eric Roberts_S33,Eric Roberts,10,57.49999999999999
33,3,Reginald VelJohnson_S33,Reginald VelJohnson,10,52.5
33,4,Brooks Nader_S33,Brooks Nader,9,80.0
33,5,Phaedra Parks_S33,Phaedra Parks,8,80.0
33,6,Jenn Tran_S33,Jenn Tran,7,51.66666666666667
33,7,Dwight Howard _S33,Dwight Howard ,6,80.0
33,9,Joey Graziadei_S33,Joey Graziadei,1,98.33333333333333
33,9,Ilona Maher_S33,Ilona Maher,2,95.0
33,9,Chandler Kinney_S33,Chandler Kinney,3,100.0
34,2,Corey Feldman_S34,Corey Feldman,13,50.0
34,2,Baron Davis_S34,Baron Davis,13,60.0
34,3,Lauren Jauregui_S34,Lauren Jauregui,12,60.0
34,4,Hilaria Baldwin_S34,Hilaria Baldwin,11,76.66666666666667
34,6,Scott Hoying_S34,Scott Hoying,10,70.0
34,7,Jen Affleck_S34,Jen Affleck,9,85.0
34,8,Danielle Fishel_S34,Danielle Fishel,8,92.5
34,9,Andy Richter_S34,Andy Richter,7,72.5
34,10,Whitney Leavitt_S34,Whitney Leavitt,6,96.66666666666667
34,11,Robert Irwin_S34,Robert Irwin,1,98.88866666666668
34,11,Alix Earle_S34,Alix Earle,2,100.0
34,11,Jordan Chiles_S34,Jordan Chiles,3,98.88866666666668
