rule_name,J_final,F_final,Balance_final,rule_accuracy,avg_judge_injustice,extreme_event_rate,n_weeks_evaluated,n_seasons,Balance_process,Balance_comprehensive,base,delta,late_boost,protection
"DRH(b=0.30,δ=0.020,lb=0.05)",0.7532410938480907,0.484375,0.5896031190147896,0.8605442176870748,0.22307030884837004,0.05782312925170068,294,32,0.5167758514392261,0.5604722119845642,0.3,0.02,0.05,
"DRH(b=0.30,δ=0.020,lb=0.10)",0.8405979801629442,0.3809119215413159,0.5242590193640668,0.8571428571428571,0.22307030884837004,0.05782312925170068,294,32,0.4586629564455794,0.4980205941966719,0.3,0.02,0.1,
"DRH(b=0.30,δ=0.020,lb=0.15)",0.8818983312334624,0.32499999999999996,0.4749645434018747,0.8571428571428571,0.22307030884837004,0.05782312925170068,294,32,0.41553627813171795,0.451193237293812,0.3,0.02,0.15000000000000002,
"DRH(b=0.30,δ=0.020,lb=0.20)",0.9384864096921466,0.21250000000000002,0.3465346944272865,0.8367346938775511,0.22307030884837004,0.05782312925170068,294,32,0.2998441597970378,0.3278584805751871,0.3,0.02,0.2,
"DRH(b=0.30,δ=0.025,lb=0.05)",0.8567354107721418,0.3621619215413159,0.5091108728152989,0.8571428571428571,0.22307030884837004,0.05782312925170068,294,32,0.4454101683692642,0.483630591036885,0.3,0.025,0.05,
"DRH(b=0.30,δ=0.025,lb=0.10)",0.8818983312334624,0.32499999999999996,0.4749645434018747,0.8537414965986394,0.22307030884837004,0.05782312925170068,294,32,0.4147752226772642,0.4508888151120305,0.3,0.025,0.1,
"DRH(b=0.30,δ=0.025,lb=0.15)",0.9384864096921466,0.21250000000000002,0.3465346944272865,0.8367346938775511,0.22307030884837004,0.05782312925170068,294,32,0.2998441597970378,0.3278584805751871,0.3,0.025,0.15000000000000002,
"DRH(b=0.30,δ=0.025,lb=0.20)",0.9480738216002382,0.1901178823119738,0.31672307302917757,0.826530612244898,0.22307030884837004,0.05782312925170068,294,32,0.2725267272318081,0.2990445347102298,0.3,0.025,0.2,
"DRH(b=0.30,δ=0.030,lb=0.05)",0.8818983312334624,0.32499999999999996,0.4749645434018747,0.8571428571428571,0.22307030884837004,0.05782312925170068,294,32,0.41553627813171795,0.451193237293812,0.3,0.030000000000000002,0.05,
"DRH(b=0.30,δ=0.030,lb=0.10)",0.9384864096921466,0.21250000000000002,0.3465346944272865,0.8367346938775511,0.22307030884837004,0.05782312925170068,294,32,0.2998441597970378,0.3278584805751871,0.3,0.030000000000000002,0.1,
"DRH(b=0.30,δ=0.030,lb=0.15)",0.9480738216002382,0.1901178823119738,0.31672307302917757,0.8231292517006803,0.22307030884837004,0.05782312925170068,294,32,0.27201922867085504,0.29884153528584856,0.3,0.030000000000000002,0.15000000000000002,
"DRH(b=0.30,δ=0.030,lb=0.20)",0.9527933247726216,0.18091192154131586,0.30408551362843267,0.8197278911564626,0.22307030884837004,0.05782312925170068,294,32,0.2606781473701096,0.28672256712510347,0.3,0.030000000000000002,0.2,
"DRH(b=0.30,δ=0.035,lb=0.05)",0.8943983312334625,0.30000000000000004,0.4492965070845257,0.8401360544217688,0.22307030884837004,0.05782312925170068,294,32,0.38948023197606185,0.4253699970411401,0.3,0.035,0.05,
"DRH(b=0.30,δ=0.035,lb=0.10)",0.9480738216002382,0.1901178823119738,0.31672307302917757,0.8231292517006803,0.22307030884837004,0.05782312925170068,294,32,0.27201922867085504,0.29884153528584856,0.3,0.035,0.1,
"DRH(b=0.30,δ=0.035,lb=0.15)",0.9527933247726216,0.18091192154131586,0.30408551362843267,0.8197278911564626,0.22307030884837004,0.05782312925170068,294,32,0.2606781473701096,0.28672256712510347,0.3,0.035,0.15000000000000002,
"DRH(b=0.30,δ=0.035,lb=0.20)",0.9527933247726216,0.18091192154131586,0.30408551362843267,0.8129251700680272,0.22307030884837004,0.05782312925170068,294,32,0.2597036496229316,0.2863327680262322,0.3,0.035,0.2,
"DRH(b=0.30,δ=0.040,lb=0.05)",0.9480738216002382,0.1901178823119738,0.31672307302917757,0.8197278911564626,0.22307030884837004,0.05782312925170068,294,32,0.271511730109902,0.2986385358614673,0.3,0.04000000000000001,0.05,
"DRH(b=0.30,δ=0.040,lb=0.10)",0.9527933247726216,0.18091192154131586,0.30408551362843267,0.8197278911564626,0.22307030884837004,0.05782312925170068,294,32,0.2606781473701096,0.28672256712510347,0.3,0.04000000000000001,0.1,
"DRH(b=0.30,δ=0.040,lb=0.15)",0.9527933247726216,0.18091192154131586,0.30408551362843267,0.8095238095238095,0.22307030884837004,0.05782312925170068,294,32,0.2592164007493426,0.2861378684767967,0.3,0.04000000000000001,0.15000000000000002,
"DRH(b=0.30,δ=0.040,lb=0.20)",0.9527933247726216,0.18091192154131586,0.30408551362843267,0.7925170068027211,0.22307030884837004,0.05782312925170068,294,32,0.2567801563813977,0.28516337072961867,0.3,0.04000000000000001,0.2,
"DRH(b=0.35,δ=0.020,lb=0.05)",0.8567354107721418,0.3621619215413159,0.5091108728152989,0.8571428571428571,0.22307030884837004,0.05782312925170068,294,32,0.4454101683692642,0.483630591036885,0.35,0.02,0.05,
"DRH(b=0.35,δ=0.020,lb=0.10)",0.8818983312334624,0.32499999999999996,0.4749645434018747,0.8537414965986394,0.22307030884837004,0.05782312925170068,294,32,0.4147752226772642,0.4508888151120305,0.35,0.02,0.1,
"DRH(b=0.35,δ=0.020,lb=0.15)",0.9384864096921466,0.21250000000000002,0.3465346944272865,0.8367346938775511,0.22307030884837004,0.05782312925170068,294,32,0.2998441597970378,0.3278584805751871,0.35,0.02,0.15000000000000002,
"DRH(b=0.35,δ=0.020,lb=0.20)",0.9480738216002382,0.1901178823119738,0.31672307302917757,0.8197278911564626,0.22307030884837004,0.05782312925170068,294,32,0.271511730109902,0.2986385358614673,0.35,0.02,0.2,
"DRH(b=0.35,δ=0.025,lb=0.05)",0.8818983312334624,0.32499999999999996,0.4749645434018747,0.8503401360544217,0.22307030884837004,0.05782312925170068,294,32,0.4140141672228105,0.45058439293024904,0.35,0.025,0.05,
"DRH(b=0.35,δ=0.025,lb=0.10)",0.9384864096921466,0.21250000000000002,0.3465346944272865,0.8333333333333334,0.22307030884837004,0.05782312925170068,294,32,0.2992888928344507,0.3276363737901522,0.35,0.025,0.1,
"DRH(b=0.35,δ=0.025,lb=0.15)",0.9480738216002382,0.1901178823119738,0.31672307302917757,0.8163265306122449,0.22307030884837004,0.05782312925170068,294,32,0.27100423154894887,0.2984355364370861,0.35,0.025,0.15000000000000002,
"DRH(b=0.35,δ=0.025,lb=0.20)",0.9527933247726216,0.18091192154131586,0.30408551362843267,0.8163265306122449,0.22307030884837004,0.05782312925170068,294,32,0.26019089849652055,0.28652766757566783,0.35,0.025,0.2,
"DRH(b=0.35,δ=0.030,lb=0.05)",0.9384864096921466,0.21250000000000002,0.3465346944272865,0.8299319727891157,0.22307030884837004,0.05782312925170068,294,32,0.2987336258718636,0.32741426700511733,0.35,0.030000000000000002,0.05,
"DRH(b=0.35,δ=0.030,lb=0.10)",0.9480738216002382,0.1901178823119738,0.31672307302917757,0.8163265306122449,0.22307030884837004,0.05782312925170068,294,32,0.27100423154894887,0.2984355364370861,0.35,0.030000000000000002,0.1,
"DRH(b=0.35,δ=0.030,lb=0.15)",0.9527933247726216,0.18091192154131586,0.30408551362843267,0.8129251700680272,0.22307030884837004,0.05782312925170068,294,32,0.2597036496229316,0.2863327680262322,0.35,0.030000000000000002,0.15000000000000002,
"DRH(b=0.35,δ=0.030,lb=0.20)",0.9527933247726216,0.18091192154131586,0.30408551362843267,0.8061224489795918,0.22307030884837004,0.05782312925170068,294,32,0.2587291518757536,0.28594296892736104,0.35,0.030000000000000002,0.2,
"DRH(b=0.35,δ=0.035,lb=0.05)",0.9480738216002382,0.1901178823119738,0.31672307302917757,0.8129251700680272,0.22307030884837004,0.05782312925170068,294,32,0.2704967329879958,0.29823253701270486,0.35,0.035,0.05,
"DRH(b=0.35,δ=0.035,lb=0.10)",0.9527933247726216,0.18091192154131586,0.30408551362843267,0.8095238095238095,0.22307030884837004,0.05782312925170068,294,32,0.2592164007493426,0.2861378684767967,0.35,0.035,0.1,
"DRH(b=0.35,δ=0.035,lb=0.15)",0.9527933247726216,0.18091192154131586,0.30408551362843267,0.7993197278911565,0.22307030884837004,0.05782312925170068,294,32,0.2577546541285756,0.2855531698284899,0.35,0.035,0.15000000000000002,
"DRH(b=0.35,δ=0.035,lb=0.20)",0.9527933247726216,0.18091192154131586,0.30408551362843267,0.7891156462585034,0.22307030884837004,0.05782312925170068,294,32,0.25629290750780864,0.2849684711801831,0.35,0.035,0.2,
"DRH(b=0.35,δ=0.040,lb=0.05)",0.9527933247726216,0.18091192154131586,0.30408551362843267,0.8061224489795918,0.22307030884837004,0.05782312925170068,294,32,0.2587291518757536,0.28594296892736104,0.35,0.04000000000000001,0.05,
"DRH(b=0.35,δ=0.040,lb=0.10)",0.9527933247726216,0.18091192154131586,0.30408551362843267,0.7993197278911565,0.22307030884837004,0.05782312925170068,294,32,0.2577546541285756,0.2855531698284899,0.35,0.04000000000000001,0.1,
"DRH(b=0.35,δ=0.040,lb=0.15)",0.9527933247726216,0.18091192154131586,0.30408551362843267,0.7925170068027211,0.22307030884837004,0.05782312925170068,294,32,0.2567801563813977,0.28516337072961867,0.35,0.04000000000000001,0.15000000000000002,
"DRH(b=0.35,δ=0.040,lb=0.20)",0.9527933247726216,0.18091192154131586,0.30408551362843267,0.7857142857142857,0.22307030884837004,0.05782312925170068,294,32,0.25580565863421967,0.28477357163074746,0.35,0.04000000000000001,0.2,
"DRH(b=0.40,δ=0.020,lb=0.05)",0.8818983312334624,0.32499999999999996,0.4749645434018747,0.8469387755102041,0.22307030884837004,0.05782312925170068,294,32,0.4132531117683569,0.4502799707484676,0.39999999999999997,0.02,0.05,
"DRH(b=0.40,δ=0.020,lb=0.10)",0.9384864096921466,0.21250000000000002,0.3465346944272865,0.8163265306122449,0.22307030884837004,0.05782312925170068,294,32,0.29651255802151516,0.32652583986497796,0.39999999999999997,0.02,0.1,
"DRH(b=0.40,δ=0.020,lb=0.15)",0.9480738216002382,0.1901178823119738,0.31672307302917757,0.8129251700680272,0.22307030884837004,0.05782312925170068,294,32,0.2704967329879958,0.29823253701270486,0.39999999999999997,0.02,0.15000000000000002,
"DRH(b=0.40,δ=0.020,lb=0.20)",0.9527933247726216,0.18091192154131586,0.30408551362843267,0.8129251700680272,0.22307030884837004,0.05782312925170068,294,32,0.2597036496229316,0.2863327680262322,0.39999999999999997,0.02,0.2,
"DRH(b=0.40,δ=0.025,lb=0.05)",0.9384864096921466,0.21250000000000002,0.3465346944272865,0.8129251700680272,0.22307030884837004,0.05782312925170068,294,32,0.29595729105892804,0.32630373307994315,0.39999999999999997,0.025,0.05,
"DRH(b=0.40,δ=0.025,lb=0.10)",0.9434274685361597,0.2,0.3300349147353854,0.8163265306122449,0.22307030884837004,0.05782312925170068,294,32,0.282394514541561,0.3109787546578556,0.39999999999999997,0.025,0.1,
"DRH(b=0.40,δ=0.025,lb=0.15)",0.9527933247726216,0.18091192154131586,0.30408551362843267,0.8061224489795918,0.22307030884837004,0.05782312925170068,294,32,0.2587291518757536,0.28594296892736104,0.39999999999999997,0.025,0.15000000000000002,
"DRH(b=0.40,δ=0.025,lb=0.20)",0.9527933247726216,0.18091192154131586,0.30408551362843267,0.7959183673469388,0.22307030884837004,0.05782312925170068,294,32,0.25726740525498665,0.28535827027905425,0.39999999999999997,0.025,0.2,
"DRH(b=0.40,δ=0.030,lb=0.05)",0.9480738216002382,0.1901178823119738,0.31672307302917757,0.8163265306122449,0.22307030884837004,0.05782312925170068,294,32,0.27100423154894887,0.2984355364370861,0.39999999999999997,0.030000000000000002,0.05,
"DRH(b=0.40,δ=0.030,lb=0.10)",0.9527933247726216,0.18091192154131586,0.30408551362843267,0.8061224489795918,0.22307030884837004,0.05782312925170068,294,32,0.2587291518757536,0.28594296892736104,0.39999999999999997,0.030000000000000002,0.1,
"DRH(b=0.40,δ=0.030,lb=0.15)",0.9527933247726216,0.18091192154131586,0.30408551362843267,0.7925170068027211,0.22307030884837004,0.05782312925170068,294,32,0.2567801563813977,0.28516337072961867,0.39999999999999997,0.030000000000000002,0.15000000000000002,
"DRH(b=0.40,δ=0.030,lb=0.20)",0.9527933247726216,0.18091192154131586,0.30408551362843267,0.7891156462585034,0.22307030884837004,0.05782312925170068,294,32,0.25629290750780864,0.2849684711801831,0.39999999999999997,0.030000000000000002,0.2,
"DRH(b=0.40,δ=0.035,lb=0.05)",0.9527933247726216,0.18091192154131586,0.30408551362843267,0.8061224489795918,0.22307030884837004,0.05782312925170068,294,32,0.2587291518757536,0.28594296892736104,0.39999999999999997,0.035,0.05,
"DRH(b=0.40,δ=0.035,lb=0.10)",0.9527933247726216,0.18091192154131586,0.30408551362843267,0.7925170068027211,0.22307030884837004,0.05782312925170068,294,32,0.2567801563813977,0.28516337072961867,0.39999999999999997,0.035,0.1,
"DRH(b=0.40,δ=0.035,lb=0.15)",0.9527933247726216,0.18091192154131586,0.30408551362843267,0.782312925170068,0.22307030884837004,0.05782312925170068,294,32,0.2553184097606307,0.2845786720813119,0.39999999999999997,0.035,0.15000000000000002,
"DRH(b=0.40,δ=0.035,lb=0.20)",0.9527933247726216,0.18091192154131586,0.30408551362843267,0.7721088435374149,0.22307030884837004,0.05782312925170068,294,32,0.25385666313986366,0.28399397343300503,0.39999999999999997,0.035,0.2,
"DRH(b=0.40,δ=0.040,lb=0.05)",0.9527933247726216,0.18091192154131586,0.30408551362843267,0.7891156462585034,0.22307030884837004,0.05782312925170068,294,32,0.25629290750780864,0.2849684711801831,0.39999999999999997,0.04000000000000001,0.05,
"DRH(b=0.40,δ=0.040,lb=0.10)",0.9527933247726216,0.18091192154131586,0.30408551362843267,0.7755102040816326,0.22307030884837004,0.05782312925170068,294,32,0.2543439120134527,0.28418887298244067,0.39999999999999997,0.04000000000000001,0.1,
"DRH(b=0.40,δ=0.040,lb=0.15)",0.9527933247726216,0.18091192154131586,0.30408551362843267,0.7687074829931972,0.22307030884837004,0.05782312925170068,294,32,0.25336941426627474,0.2837990738835695,0.39999999999999997,0.04000000000000001,0.15000000000000002,
"DRH(b=0.40,δ=0.040,lb=0.20)",0.9527933247726216,0.18091192154131586,0.30408551362843267,0.7653061224489796,0.22307030884837004,0.05782312925170068,294,32,0.25288216539268576,0.2836041743341339,0.39999999999999997,0.04000000000000001,0.2,
"DRH(b=0.45,δ=0.020,lb=0.05)",0.9384864096921466,0.21250000000000002,0.3465346944272865,0.8129251700680272,0.22307030884837004,0.05782312925170068,294,32,0.29595729105892804,0.32630373307994315,0.44999999999999996,0.02,0.05,
"DRH(b=0.45,δ=0.020,lb=0.10)",0.9434274685361597,0.2,0.3300349147353854,0.8095238095238095,0.22307030884837004,0.05782312925170068,294,32,0.2813368571837275,0.3105556917147222,0.44999999999999996,0.02,0.1,
"DRH(b=0.45,δ=0.020,lb=0.15)",0.9527933247726216,0.18091192154131586,0.30408551362843267,0.8061224489795918,0.22307030884837004,0.05782312925170068,294,32,0.2587291518757536,0.28594296892736104,0.44999999999999996,0.02,0.15000000000000002,
"DRH(b=0.45,δ=0.020,lb=0.20)",0.9527933247726216,0.18091192154131586,0.30408551362843267,0.7891156462585034,0.22307030884837004,0.05782312925170068,294,32,0.25629290750780864,0.2849684711801831,0.44999999999999996,0.02,0.2,
"DRH(b=0.45,δ=0.025,lb=0.05)",0.9480738216002382,0.1901178823119738,0.31672307302917757,0.8061224489795918,0.22307030884837004,0.05782312925170068,294,32,0.26948173586608964,0.2978265381639424,0.44999999999999996,0.025,0.05,
"DRH(b=0.45,δ=0.025,lb=0.10)",0.9527933247726216,0.18091192154131586,0.30408551362843267,0.8027210884353742,0.22307030884837004,0.05782312925170068,294,32,0.25824190300216465,0.28574806937792546,0.44999999999999996,0.025,0.1,
"DRH(b=0.45,δ=0.025,lb=0.15)",0.9527933247726216,0.18091192154131586,0.30408551362843267,0.7857142857142857,0.22307030884837004,0.05782312925170068,294,32,0.25580565863421967,0.28477357163074746,0.44999999999999996,0.025,0.15000000000000002,
"DRH(b=0.45,δ=0.025,lb=0.20)",0.9527933247726216,0.18091192154131586,0.30408551362843267,0.7789115646258503,0.22307030884837004,0.05782312925170068,294,32,0.2548311608870417,0.2843837725318763,0.44999999999999996,0.025,0.2,
"DRH(b=0.45,δ=0.030,lb=0.05)",0.9527933247726216,0.18091192154131586,0.30408551362843267,0.7993197278911565,0.22307030884837004,0.05782312925170068,294,32,0.2577546541285756,0.2855531698284899,0.44999999999999996,0.030000000000000002,0.05,
"DRH(b=0.45,δ=0.030,lb=0.10)",0.9527933247726216,0.18091192154131586,0.30408551362843267,0.7857142857142857,0.22307030884837004,0.05782312925170068,294,32,0.25580565863421967,0.28477357163074746,0.44999999999999996,0.030000000000000002,0.1,
"DRH(b=0.45,δ=0.030,lb=0.15)",0.9527933247726216,0.18091192154131586,0.30408551362843267,0.7721088435374149,0.22307030884837004,0.05782312925170068,294,32,0.25385666313986366,0.28399397343300503,0.44999999999999996,0.030000000000000002,0.15000000000000002,
"DRH(b=0.45,δ=0.030,lb=0.20)",0.9527933247726216,0.18091192154131586,0.30408551362843267,0.7721088435374149,0.22307030884837004,0.05782312925170068,294,32,0.25385666313986366,0.28399397343300503,0.44999999999999996,0.030000000000000002,0.2,
"DRH(b=0.45,δ=0.035,lb=0.05)",0.9527933247726216,0.18091192154131586,0.30408551362843267,0.782312925170068,0.22307030884837004,0.05782312925170068,294,32,0.2553184097606307,0.2845786720813119,0.44999999999999996,0.035,0.05,
"DRH(b=0.45,δ=0.035,lb=0.10)",0.9527933247726216,0.18091192154131586,0.30408551362843267,0.7721088435374149,0.22307030884837004,0.05782312925170068,294,32,0.25385666313986366,0.28399397343300503,0.44999999999999996,0.035,0.1,
"DRH(b=0.45,δ=0.035,lb=0.15)",0.9527933247726216,0.18091192154131586,0.30408551362843267,0.7687074829931972,0.22307030884837004,0.05782312925170068,294,32,0.25336941426627474,0.2837990738835695,0.44999999999999996,0.035,0.15000000000000002,
"DRH(b=0.45,δ=0.035,lb=0.20)",0.9527933247726216,0.18091192154131586,0.30408551362843267,0.7687074829931972,0.22307030884837004,0.05782312925170068,294,32,0.25336941426627474,0.2837990738835695,0.44999999999999996,0.035,0.2,
"DRH(b=0.45,δ=0.040,lb=0.05)",0.9527933247726216,0.18091192154131586,0.30408551362843267,0.7721088435374149,0.22307030884837004,0.05782312925170068,294,32,0.25385666313986366,0.28399397343300503,0.44999999999999996,0.04000000000000001,0.05,
"DRH(b=0.45,δ=0.040,lb=0.10)",0.9527933247726216,0.18091192154131586,0.30408551362843267,0.7721088435374149,0.22307030884837004,0.05782312925170068,294,32,0.25385666313986366,0.28399397343300503,0.44999999999999996,0.04000000000000001,0.1,
