rule,params,judge_weight,J,F,base_weight,delta,log_strength,Balance
Static Rank,30%,0.3,0.11033620161313537,0.98125,,,,0.19836692418689547
Static Rank,32%,0.325,0.11033620161313537,0.98125,,,,0.19836692418689547
Static Rank,35%,0.35,0.24703713554039075,0.9156249999999999,,,,0.3890952939245615
Static Rank,38%,0.375,0.258566272843088,0.9093749999999999,,,,0.40264610646261473
Static Rank,40%,0.4,0.3520558723900426,0.8620326891575486,,,,0.4999362156169876
Static Rank,43%,0.42500000000000004,0.39439881953850536,0.825,,,,0.5336707795190753
Static Rank,45%,0.45,0.4433701235832565,0.7875,,,,0.567328237103123
Static Rank,48%,0.47500000000000003,0.4548992608859537,0.778125,,,,0.5741463676462707
Static Rank,50%,0.5,0.664751115828407,0.704330083488925,,,,0.6839680030084965
Static Rank,52%,0.525,0.7452256379724255,0.49375,,,,0.5939662580741483
Static Rank,55%,0.55,0.7941969420171766,0.4375,,,,0.5641986566340618
Static Rank,58%,0.5750000000000001,0.8407609006242649,0.38125000000000003,,,,0.5246104284242291
Static Rank,60%,0.6000000000000001,0.8818983312334624,0.32499999999999996,,,,0.47496415025427197
Static Rank,62%,0.625,0.8818983312334624,0.32499999999999996,,,,0.47496415025427197
Static Rank,65%,0.6500000000000001,0.8818983312334624,0.32499999999999996,,,,0.47496415025427197
Static Rank,68%,0.675,0.9384864096921466,0.21250000000000002,,,,0.3465343936523547
Static Rank,70%,0.7000000000000001,0.9384864096921466,0.21250000000000002,,,,0.3465343936523547
Static Rank,73%,0.7250000000000001,0.9384864096921466,0.21250000000000002,,,,0.3465343936523547
Static Rank,75%,0.75,0.9527933247726216,0.18091192154131586,,,,0.30408524567416406
Static Rank,78%,0.7750000000000001,0.9562655469948438,0.1625,,,,0.2777937037965049
Static Rank,80%,0.8,0.9562655469948438,0.1625,,,,0.2777937037965049
Static Rank,83%,0.8250000000000002,0.9562655469948438,0.1625,,,,0.2777937037965049
Static Rank,85%,0.8500000000000001,0.9562655469948438,0.1625,,,,0.2777937037965049
Static Rank,88%,0.875,0.9562655469948438,0.1625,,,,0.2777937037965049
Static Rank,90%,0.9,0.9562655469948438,0.1625,,,,0.2777937037965049
Static Pct,30%,0.3,0.29781063594539303,0.815625,,,,0.4363100550157826
Static Pct,32%,0.325,0.31394806655459057,0.809375,,,,0.45241034877315717
Static Pct,35%,0.35,0.33633549716378813,0.784375,,,,0.4707958404200987
Static Pct,38%,0.375,0.3528056933104985,0.778125,,,,0.485488083375978
Static Pct,40%,0.4,0.36530569331049845,0.765625,,,,0.4946137297154373
Static Pct,43%,0.42500000000000004,0.37518781099852466,0.759375,,,,0.5022339708266531
Static Pct,45%,0.45,0.39165800714523497,0.7531249999999999,,,,0.5153241743249363
Static Pct,48%,0.47500000000000003,0.43528234059464244,0.715625,,,,0.5413097012175586
Static Pct,50%,0.5,0.4543704190533266,0.7062499999999999,,,,0.5529780911990351
Static Pct,52%,0.525,0.49187041905332657,0.6749999999999999,,,,0.5690644700687837
Static Pct,55%,0.55,0.511546797550303,0.6593749999999999,,,,0.576128794042445
Static Pct,58%,0.5750000000000001,0.5370539152383291,0.6375,,,,0.5829814622076892
Static Pct,60%,0.6000000000000001,0.5669443711139945,0.6031249999999999,,,,0.5844748012934933
Static Pct,62%,0.625,0.5766947034834067,0.5874999999999999,,,,0.5820467079250485
Static Pct,65%,0.6500000000000001,0.6298658335573725,0.53125,,,,0.5763696027938436
Static Pct,68%,0.675,0.6855612451136623,0.490625,,,,0.5719386726581731
Static Pct,70%,0.7000000000000001,0.7293112451136623,0.440625,,,,0.5493504351970387
Static Pct,73%,0.7250000000000001,0.7418112451136623,0.428125,,,,0.5429144864662074
Static Pct,75%,0.75,0.7630028579066959,0.3875,,,,0.5139723876750748
Static Pct,78%,0.7750000000000001,0.7963161517749595,0.35,,,,0.4862714523457663
Static Pct,80%,0.8,0.8043316076506248,0.34062499999999996,,,,0.47857746352403924
Static Pct,83%,0.8250000000000002,0.8724860773227343,0.284375,,,,0.4289417608239836
Static Pct,85%,0.8500000000000001,0.8889562734694446,0.271875,,,,0.41639949607391213
Static Pct,88%,0.875,0.9062655469948437,0.234375,,,,0.372432493164089
Static Pct,90%,0.9,0.9218905469948437,0.21875,,,,0.3535967240303122
Dynamic,"b=45%,δ=0.01",,0.4950766014035927,0.6718749999999999,0.45,0.01,0.0,0.570082437226597
Dynamic,"b=45%,δ=0.015",,0.5513193711139945,0.6187499999999999,0.45,0.015,0.0,0.5830911871599721
Dynamic,"b=45%,δ=0.02",,0.5928321340926044,0.5687499999999999,0.45,0.02,0.0,0.5805409296486711
Dynamic,"b=45%,δ=0.025",,0.6881791274256361,0.484375,0.45,0.025,0.0,0.5685647643341748
Dynamic,"b=50%,δ=0.01",,0.5513193711139945,0.6187499999999999,0.5,0.01,0.0,0.5830911871599721
Dynamic,"b=50%,δ=0.015",,0.606807558951978,0.5562499999999999,0.5,0.015,0.0,0.5804294238996688
Dynamic,"b=50%,δ=0.02",,0.7293112451136623,0.440625,0.5,0.02,0.0,0.5493504351970387
Dynamic,"b=50%,δ=0.025",,0.7418112451136623,0.428125,0.5,0.025,0.0,0.5429144864662074
Dynamic,"b=55%,δ=0.01",,0.606807558951978,0.5562499999999999,0.55,0.01,0.0,0.5804294238996688
Dynamic,"b=55%,δ=0.015",,0.7293112451136623,0.440625,0.55,0.015,0.0,0.5493504351970387
Dynamic,"b=55%,δ=0.02",,0.7418112451136623,0.428125,0.55,0.02,0.0,0.5429144864662074
Dynamic,"b=55%,δ=0.025",,0.8043316076506248,0.34062499999999996,0.55,0.025,0.0,0.47857746352403924
Dynamic+Log,"b=45%,δ=0.01,α=0.1",,0.4950766014035927,0.6718749999999999,0.45,0.01,0.1,0.570082437226597
Dynamic+Log,"b=45%,δ=0.01,α=0.15",,0.511546797550303,0.6593749999999999,0.45,0.01,0.15,0.576128794042445
Dynamic+Log,"b=45%,δ=0.01,α=0.2",,0.5450693711139944,0.63125,0.45,0.01,0.2,0.5850022646294297
Dynamic+Log,"b=45%,δ=0.01,α=0.25",,0.5513193711139945,0.6187499999999999,0.45,0.01,0.25,0.5830911871599721
Dynamic+Log,"b=45%,δ=0.01,α=0.3",,0.5669443711139945,0.6031249999999999,0.45,0.01,0.3,0.5844748012934933
Dynamic+Log,"b=45%,δ=0.015,α=0.1",,0.5766947034834067,0.5874999999999999,0.45,0.015,0.1,0.5820467079250485
Dynamic+Log,"b=45%,δ=0.015,α=0.15",,0.5766947034834067,0.5874999999999999,0.45,0.015,0.15,0.5820467079250485
Dynamic+Log,"b=45%,δ=0.015,α=0.2",,0.5766947034834067,0.5874999999999999,0.45,0.015,0.2,0.5820467079250485
Dynamic+Log,"b=45%,δ=0.015,α=0.25",,0.5766947034834067,0.5874999999999999,0.45,0.015,0.25,0.5820467079250485
Dynamic+Log,"b=45%,δ=0.015,α=0.3",,0.606807558951978,0.5562499999999999,0.45,0.015,0.3,0.5804294238996688
Dynamic+Log,"b=45%,δ=0.02,α=0.1",,0.625557558951978,0.54375,0.45,0.02,0.1,0.5817915554898584
Dynamic+Log,"b=45%,δ=0.02,α=0.15",,0.6321456374106621,0.5375,0.45,0.02,0.15,0.5809930439511621
Dynamic+Log,"b=45%,δ=0.02,α=0.2",,0.6592089312789258,0.521875,0.45,0.02,0.2,0.5825570234625986
Dynamic+Log,"b=45%,δ=0.02,α=0.25",,0.6756791274256362,0.503125,0.45,0.02,0.25,0.57677228080681
Dynamic+Log,"b=45%,δ=0.02,α=0.3",,0.7293112451136623,0.440625,0.45,0.02,0.3,0.5493504351970387
Dynamic+Log,"b=45%,δ=0.025,α=0.1",,0.7418112451136623,0.428125,0.45,0.025,0.1,0.5429144864662074
Dynamic+Log,"b=45%,δ=0.025,α=0.15",,0.7418112451136623,0.428125,0.45,0.025,0.15,0.5429144864662074
Dynamic+Log,"b=45%,δ=0.025,α=0.2",,0.7418112451136623,0.428125,0.45,0.025,0.2,0.5429144864662074
Dynamic+Log,"b=45%,δ=0.025,α=0.25",,0.7418112451136623,0.428125,0.45,0.025,0.25,0.5429144864662074
Dynamic+Log,"b=45%,δ=0.025,α=0.3",,0.7418112451136623,0.428125,0.45,0.025,0.3,0.5429144864662074
Dynamic+Log,"b=50%,δ=0.01,α=0.1",,0.5766947034834067,0.5874999999999999,0.5,0.01,0.1,0.5820467079250485
Dynamic+Log,"b=50%,δ=0.01,α=0.15",,0.5766947034834067,0.5874999999999999,0.5,0.01,0.15,0.5820467079250485
Dynamic+Log,"b=50%,δ=0.01,α=0.2",,0.5766947034834067,0.5874999999999999,0.5,0.01,0.2,0.5820467079250485
Dynamic+Log,"b=50%,δ=0.01,α=0.25",,0.5906701283427804,0.575,0.5,0.01,0.25,0.5827292373277768
Dynamic+Log,"b=50%,δ=0.01,α=0.3",,0.6133956374106622,0.5499999999999999,0.5,0.01,0.3,0.5799700458593956
Dynamic+Log,"b=50%,δ=0.015,α=0.1",,0.6321456374106621,0.5375,0.5,0.015,0.1,0.5809930439511621
Dynamic+Log,"b=50%,δ=0.015,α=0.15",,0.6321456374106621,0.5375,0.5,0.015,0.15,0.5809930439511621
Dynamic+Log,"b=50%,δ=0.015,α=0.2",,0.6756791274256362,0.503125,0.5,0.015,0.2,0.57677228080681
Dynamic+Log,"b=50%,δ=0.015,α=0.25",,0.7168112451136623,0.459375,0.5,0.015,0.25,0.5599196337012952
Dynamic+Log,"b=50%,δ=0.015,α=0.3",,0.7293112451136623,0.440625,0.5,0.015,0.3,0.5493504351970387
Dynamic+Log,"b=50%,δ=0.02,α=0.1",,0.7418112451136623,0.428125,0.5,0.02,0.1,0.5429144864662074
Dynamic+Log,"b=50%,δ=0.02,α=0.15",,0.7418112451136623,0.428125,0.5,0.02,0.15,0.5429144864662074
Dynamic+Log,"b=50%,δ=0.02,α=0.2",,0.7418112451136623,0.428125,0.5,0.02,0.2,0.5429144864662074
Dynamic+Log,"b=50%,δ=0.02,α=0.25",,0.7418112451136623,0.428125,0.5,0.02,0.25,0.5429144864662074
Dynamic+Log,"b=50%,δ=0.02,α=0.3",,0.7418112451136623,0.428125,0.5,0.02,0.3,0.5429144864662074
Dynamic+Log,"b=50%,δ=0.025,α=0.1",,0.7546493235723464,0.40937500000000004,0.5,0.025,0.1,0.5308038589561294
Dynamic+Log,"b=50%,δ=0.025,α=0.15",,0.7612374020310305,0.390625,0.5,0.025,0.15,0.5163083741423719
Dynamic+Log,"b=50%,δ=0.025,α=0.2",,0.7612374020310305,0.390625,0.5,0.025,0.2,0.5163083741423719
Dynamic+Log,"b=50%,δ=0.025,α=0.25",,0.7692528579066958,0.38125,0.5,0.025,0.25,0.5098247173382572
Dynamic+Log,"b=50%,δ=0.025,α=0.3",,0.7692528579066958,0.38125,0.5,0.025,0.3,0.5098247173382572
Dynamic+Log,"b=55%,δ=0.01,α=0.1",,0.6486158335573724,0.51875,0.55,0.01,0.1,0.5764588370778834
Dynamic+Log,"b=55%,δ=0.01,α=0.15",,0.6756791274256362,0.503125,0.55,0.01,0.15,0.57677228080681
Dynamic+Log,"b=55%,δ=0.01,α=0.2",,0.6855612451136623,0.490625,0.55,0.01,0.2,0.5719386726581731
Dynamic+Log,"b=55%,δ=0.01,α=0.25",,0.7168112451136623,0.459375,0.55,0.01,0.25,0.5599196337012952
Dynamic+Log,"b=55%,δ=0.01,α=0.3",,0.7293112451136623,0.440625,0.55,0.01,0.3,0.5493504351970387
Dynamic+Log,"b=55%,δ=0.015,α=0.1",,0.7418112451136623,0.428125,0.55,0.015,0.1,0.5429144864662074
Dynamic+Log,"b=55%,δ=0.015,α=0.15",,0.7418112451136623,0.428125,0.55,0.015,0.15,0.5429144864662074
Dynamic+Log,"b=55%,δ=0.015,α=0.2",,0.7418112451136623,0.428125,0.55,0.015,0.2,0.5429144864662074
Dynamic+Log,"b=55%,δ=0.015,α=0.25",,0.7418112451136623,0.428125,0.55,0.015,0.25,0.5429144864662074
Dynamic+Log,"b=55%,δ=0.015,α=0.3",,0.7418112451136623,0.428125,0.55,0.015,0.3,0.5429144864662074
Dynamic+Log,"b=55%,δ=0.02,α=0.1",,0.7546493235723464,0.40937500000000004,0.55,0.02,0.1,0.5308038589561294
Dynamic+Log,"b=55%,δ=0.02,α=0.15",,0.7612374020310305,0.390625,0.55,0.02,0.15,0.5163083741423719
Dynamic+Log,"b=55%,δ=0.02,α=0.2",,0.7692528579066958,0.38125,0.55,0.02,0.2,0.5098247173382572
Dynamic+Log,"b=55%,δ=0.02,α=0.25",,0.7692528579066958,0.38125,0.55,0.02,0.25,0.5098247173382572
Dynamic+Log,"b=55%,δ=0.02,α=0.3",,0.7963161517749595,0.35,0.55,0.02,0.3,0.4862714523457663
Dynamic+Log,"b=55%,δ=0.025,α=0.1",,0.8043316076506248,0.34062499999999996,0.55,0.025,0.1,0.47857746352403924
Dynamic+Log,"b=55%,δ=0.025,α=0.15",,0.8043316076506248,0.34062499999999996,0.55,0.025,0.15,0.47857746352403924
Dynamic+Log,"b=55%,δ=0.025,α=0.2",,0.8043316076506248,0.34062499999999996,0.55,0.025,0.2,0.47857746352403924
Dynamic+Log,"b=55%,δ=0.025,α=0.25",,0.8043316076506248,0.34062499999999996,0.55,0.025,0.25,0.47857746352403924
Dynamic+Log,"b=55%,δ=0.025,α=0.3",,0.8364268037973351,0.30624999999999997,0.55,0.025,0.3,0.44834284487137116
Recommended,"b=45%,δ=0.01,α=0.1+Save",,0.4897458952682773,0.6526178823119738,0.45,0.01,0.1,0.5595706998564419
Recommended,"b=45%,δ=0.01,α=0.15+Save",,0.5062160914149876,0.6401178823119738,0.45,0.01,0.15,0.5653460460606815
Recommended,"b=45%,δ=0.01,α=0.2+Save",,0.5397386649786791,0.6119928823119738,0.45,0.01,0.2,0.5735988308267536
Recommended,"b=45%,δ=0.015,α=0.1+Save",,0.5651139973480912,0.5708607646239476,0.45,0.015,0.1,0.5679723448778434
Recommended,"b=45%,δ=0.015,α=0.15+Save",,0.5651139973480912,0.5708607646239476,0.45,0.015,0.15,0.5679723448778434
Recommended,"b=45%,δ=0.015,α=0.2+Save",,0.5651139973480912,0.5708607646239476,0.45,0.015,0.2,0.5679723448778434
Recommended,"b=45%,δ=0.02,α=0.1+Save",,0.6139768528166625,0.5271107646239477,0.45,0.02,0.1,0.5672369409406365
Recommended,"b=45%,δ=0.02,α=0.15+Save",,0.6205649312753466,0.5208607646239476,0.45,0.02,0.15,0.5663577446788617
Recommended,"b=45%,δ=0.02,α=0.2+Save",,0.6476282251436103,0.5052357646239476,0.45,0.02,0.2,0.567637918449503
Recommended,"b=50%,δ=0.01,α=0.1+Save",,0.5651139973480912,0.5708607646239476,0.5,0.01,0.1,0.5679723448778434
Recommended,"b=50%,δ=0.01,α=0.15+Save",,0.5651139973480912,0.5708607646239476,0.5,0.01,0.15,0.5679723448778434
Recommended,"b=50%,δ=0.01,α=0.2+Save",,0.5651139973480912,0.5708607646239476,0.5,0.01,0.2,0.5679723448778434
Recommended,"b=50%,δ=0.015,α=0.1+Save",,0.6205649312753466,0.5208607646239476,0.5,0.015,0.1,0.5663577446788617
Recommended,"b=50%,δ=0.015,α=0.15+Save",,0.6205649312753466,0.5208607646239476,0.5,0.015,0.15,0.5663577446788617
Recommended,"b=50%,δ=0.015,α=0.2+Save",,0.6640984212903207,0.48648576462394766,0.5,0.015,0.2,0.5615828053796114
Recommended,"b=50%,δ=0.02,α=0.1+Save",,0.7302305389783468,0.41148576462394765,0.5,0.02,0.1,0.5263640495509762
Recommended,"b=50%,δ=0.02,α=0.15+Save",,0.7302305389783468,0.41148576462394765,0.5,0.02,0.15,0.5263640495509762
Recommended,"b=50%,δ=0.02,α=0.2+Save",,0.7302305389783468,0.41148576462394765,0.5,0.02,0.2,0.5263640495509762
Recommended,"b=55%,δ=0.01,α=0.1+Save",,0.6370351274220569,0.5021107646239475,0.55,0.01,0.1,0.5615819999257572
Recommended,"b=55%,δ=0.01,α=0.15+Save",,0.6640984212903207,0.48648576462394766,0.55,0.01,0.15,0.5615828053796114
Recommended,"b=55%,δ=0.01,α=0.2+Save",,0.6739805389783469,0.47398576462394765,0.55,0.01,0.2,0.5565614632173982
Recommended,"b=55%,δ=0.015,α=0.1+Save",,0.7302305389783468,0.41148576462394765,0.55,0.015,0.1,0.5263640495509762
Recommended,"b=55%,δ=0.015,α=0.15+Save",,0.7302305389783468,0.41148576462394765,0.55,0.015,0.15,0.5263640495509762
Recommended,"b=55%,δ=0.015,α=0.2+Save",,0.7302305389783468,0.41148576462394765,0.55,0.015,0.2,0.5263640495509762
Recommended,"b=55%,δ=0.02,α=0.1+Save",,0.7430686174370309,0.39273576462394766,0.55,0.02,0.1,0.5138725810713306
Recommended,"b=55%,δ=0.02,α=0.15+Save",,0.7496566958957152,0.3739857646239476,0.55,0.02,0.15,0.49902116190906304
Recommended,"b=55%,δ=0.02,α=0.2+Save",,0.7576721517713804,0.3646107646239476,0.55,0.02,0.2,0.49230933198961196
